rid	C16_Down_LUT_Down	C16_Down_LUT_NA	C16_NA_LUT_Down	C16_NA_LUT_Up	C16_Up_LUT_NA	C16_Up_LUT_Up	PeakID
CACNA1C-IT3	0	0	0	0	1	0	0
CACNA1I	0	0	0	0	1	0	0
CACNA2D1	0	0	0	1	0	0	0
CACNA2D1-AS1	0	0	0	1	0	0	0
CADM2	0	0	0	1	0	0	0
CADM2-AS2	0	0	0	1	0	0	0
CALCRL	0	0	0	1	0	0	0
CALD1	0	0	0	1	1	0	0
CALN1	0	0	0	0	0	1	0
CAMK2D	0	0	0	0	1	0	0
CAP2	0	0	0	1	0	0	0
CAPN8	0	0	0	1	0	0	0
CAPS2	0	0	0	0	1	0	0
CAPZA3	0	0	0	0	1	0	0
CASC15	0	0	0	0	0	1	0
CASC17	0	0	0	0	0	1	0
CASC18	0	0	0	0	0	1	0
CASC21	0	0	0	0	1	0	0
CASC6	0	0	0	1	1	0	0
CASK	0	0	0	0	0	1	0
CASP6	0	0	0	1	0	0	0
CBLB	0	0	0	1	0	0	0
CBLL2	0	0	0	0	1	0	0
CBX2	0	0	0	1	0	0	0
CBY2	0	0	0	1	0	0	0
CC2D1B	0	0	0	1	0	0	0
CCAT2	0	0	0	0	1	0	0
CCBE1	0	0	0	1	0	0	0
CCDC140	0	0	0	1	0	0	0
CCDC148-AS1	0	0	0	0	1	0	0
CCDC150	0	0	0	0	1	0	0
CCDC175	0	0	0	1	0	0	0
CCDC178	0	0	0	1	0	0	0
CCDC192	0	0	0	1	0	0	0
CCDC196	0	0	0	0	1	0	0
CCDC26	0	0	0	0	1	0	0
CCDC59	0	0	0	1	0	0	0
CCDC70	0	0	0	1	0	0	0
CCDC71L	0	0	0	1	0	0	0
CCKAR	0	0	0	1	1	0	0
CCL20	0	0	0	0	1	0	0
CCN3	0	0	0	0	1	0	0
CCNG1	0	0	0	1	0	0	0
CCNL1	0	0	0	0	1	0	0
CCSER1	0	0	0	0	1	0	0
CD163	0	0	0	0	1	0	0
CD180	0	0	0	1	1	0	0
CD200R1L	0	0	0	0	1	0	0
CD226	0	0	0	0	0	1	0
CD2AP	0	0	0	1	0	0	0
CD44-DT	0	0	0	0	1	0	0
CD83	0	0	0	1	0	0	0
CD96	0	0	0	1	0	1	0
CDC42EP3	0	0	0	1	0	0	0
CDCA2	0	0	0	1	0	0	0
CDCA7L	0	0	0	1	0	0	0
CDH11	0	0	0	0	1	0	0
CDH12	0	0	0	1	0	0	0
CDH17	0	0	0	1	0	0	0
CDH18	0	0	0	0	1	0	0
CDH18-AS1	0	0	0	1	1	0	0
CDH2	0	0	0	1	0	0	0
CDH20	0	0	0	1	0	0	0
CDH5	0	0	0	0	0	1	0
CDH6	0	0	0	0	1	0	0
CDH7	0	0	0	1	0	0	0
CDH8	0	0	0	1	1	0	0
CDH9	0	0	0	1	0	0	0
CDK5RAP2	0	0	0	0	1	0	0
CDKAL1	0	0	0	1	0	0	0
CDKN2B	0	0	0	0	1	0	0
CDX4	0	0	0	1	0	0	0
CDYL	0	0	0	1	0	0	0
CELF2	0	0	0	1	0	1	0
CELF4	0	0	0	0	1	0	0
CEMIP	0	0	0	1	0	0	0
CEP112	0	0	0	0	1	0	0
CEP120	0	0	0	1	0	0	0
CEP43	0	0	0	1	0	0	0
CEP63	0	1	0	0	0	0	0
CETN3	0	0	0	0	0	1	0
CETP	0	0	0	1	0	0	0
CFAP20DC	0	0	0	0	1	0	0
CFAP299	0	0	0	1	0	0	0
CFAP90	0	0	0	1	0	0	0
CFDP1	0	0	0	1	0	0	0
CFTR-AS1	0	0	0	0	1	0	0
CHRM3	0	0	0	0	1	1	0
CHST9	0	0	0	1	0	0	0
CHSY3	0	0	0	1	0	0	0
CILK1	0	0	0	0	1	0	0
CLDN24	0	0	0	0	1	0	0
CLEC16A	0	0	0	1	0	0	0
CLGN	0	0	0	1	0	0	0
CLIC5	0	0	0	1	0	0	0
CLK1	0	0	0	0	1	0	0
CLNK	0	0	0	1	0	0	0
CLSTN2-AS1	0	0	0	1	0	0	0
CLTC	0	0	0	0	1	0	0
CLVS2	0	0	0	1	0	0	0
CLYBL-AS1	0	0	0	1	0	0	0
CMC2	0	0	0	1	0	0	0
CMSS1	0	0	0	1	0	0	0
CNBD1	0	0	0	1	1	0	0
CNGB3	0	0	0	1	0	0	0
CNKSR2	0	0	0	0	1	0	0
CNTN1	0	0	0	1	1	1	0
CNTN3	0	0	0	0	1	0	0
CNTN4	0	0	0	1	0	0	0
CNTN5	0	0	0	1	1	0	0
CNTNAP2	0	0	0	0	0	1	0
COG7	0	0	0	1	0	0	0
COL11A1	0	0	0	1	0	0	0
COL17A1	0	0	0	1	0	0	0
COL25A1	0	0	0	1	1	0	0
COL26A1	0	0	0	0	1	0	0
COL28A1	0	0	0	1	0	0	0
COL6A3	0	0	0	0	1	0	0
COL6A5	0	0	0	0	1	0	0
COL8A1	0	0	0	0	1	0	0
COL9A1	0	0	0	1	0	0	0
COLEC10	0	0	0	0	1	0	0
COMMD9	0	0	0	1	0	0	0
COQ2	0	0	0	1	0	1	0
COX6C	0	0	0	1	0	0	0
COX7B2	0	0	0	0	0	1	0
CPA6	0	0	0	1	1	0	0
CPEB2	0	0	0	1	0	0	0
CPED1	0	0	0	0	1	0	0
CPQ	0	0	0	1	0	1	0
CPS1-IT1	0	0	0	1	0	0	0
CPXM2	0	0	0	0	0	1	0
CRACDL	0	0	0	0	1	0	0
CRACR2A	0	0	0	1	0	0	0
CREB5	0	0	0	0	1	0	0
CRLF2	0	1	0	0	0	0	0
CRPPA-AS1	0	0	0	0	1	0	0
CRTC3	0	0	0	0	0	1	0
CSMD1	0	0	0	1	0	0	0
CSMD3	0	0	0	1	0	0	0
CSNK1A1L	0	0	0	0	1	0	0
CSNK1G1	0	0	0	1	0	0	0
CSNK2A3	0	0	0	1	0	0	0
CSRNP3	0	0	0	1	0	0	0
CSRP3	0	0	0	1	0	0	0
CTBP2	0	0	0	1	0	0	0
CTDP1	0	0	1	0	0	0	0
CTHRC1	0	0	0	0	1	0	0
CTLA4	0	0	0	1	0	0	0
CTNNA2	0	0	0	0	1	0	0
CTNNA3	0	0	0	0	1	0	0
CTNND2	0	0	0	1	0	0	0
CTSC	0	0	0	1	0	0	0
CTSG	0	0	0	0	1	0	0
CTSO	0	0	0	1	0	1	0
CUBN	0	0	0	1	0	0	0
CWC22	0	0	0	0	1	0	0
CWF19L2	0	0	0	1	0	0	0
CXCL13	0	0	0	0	0	1	0
CXCR4	0	0	0	1	1	0	0
CYB5R2	0	0	0	0	1	0	0
CYP26C1	0	0	0	1	0	0	0
CYTL1	0	0	0	0	0	1	0
DAAM1	0	0	0	0	0	1	0
DACH1	0	0	0	1	1	0	0
DACH2	0	0	0	0	1	0	0
DACT1	0	0	0	1	1	0	0
DACT2	0	0	0	1	0	0	0
DAOA	0	0	0	1	0	1	0
DAP	0	0	0	1	0	0	0
DAPK1-IT1	0	0	0	0	1	0	0
DAW1	0	0	0	0	0	1	0
DCAF4L2	0	0	0	1	0	0	0
DCC	0	0	0	1	0	0	0
DCDC1	0	0	0	1	0	0	0
DCDC2C	0	0	0	0	0	1	0
DCLK2	0	0	0	1	0	0	0
DCUN1D4	0	0	1	0	0	0	0
DDHD1-DT	0	0	0	1	1	0	0
DDX10	0	0	0	0	1	0	0
DDX18	0	0	0	0	1	0	0
DDX53	0	0	0	0	1	0	0
DDX60L	0	0	0	0	1	0	0
DEFB115	0	0	0	1	0	1	0
DELEC1	0	0	0	1	1	0	0
DEPTOR	0	0	0	0	0	1	0
DERL1	0	0	0	0	1	0	0
DGAT2L6	0	0	0	1	0	0	0
DGKG	0	0	0	1	0	0	0
DHX34	0	0	0	0	1	0	0
DIAPH2-AS1	0	0	0	1	0	0	0
DIAPH3-AS1	0	0	0	1	0	1	0
DICER1	0	0	0	1	0	0	0
DIO2-AS1	0	0	0	0	0	1	0
DIPK2A	0	0	0	1	0	0	0
DIRAS2	0	0	0	0	1	0	0
DIRC3-AS1	0	0	0	1	0	0	0
DISC1-IT1	0	0	0	1	1	0	0
DLC1	0	0	0	0	1	0	0
DLEU1-AS1	0	0	0	1	0	0	0
DLG5-AS1	0	0	0	1	0	0	0
DLGAP1-AS2	0	0	0	1	0	0	0
DLK1	0	0	0	1	0	0	0
DMAC1	0	0	0	1	0	0	0
DMRTA1	0	0	0	1	1	0	0
DMRTA2	0	0	0	1	0	0	0
DMXL2	0	0	0	1	0	0	0
DNAH12	0	0	0	0	1	0	0
DNAH14	0	0	0	1	0	0	0
DNAH5	0	0	0	1	0	0	0
DNAH9	0	0	0	1	1	0	0
DNAJC1	0	0	0	0	1	0	0
DNAJC12	0	0	0	0	0	1	0
DNAJC5B	0	0	0	0	1	0	0
DNER	0	0	0	0	0	1	0
DNM3-IT1	0	0	0	1	0	0	0
DNM3OS	0	0	0	1	0	0	0
DOCK10	0	0	0	0	1	0	0
DOK6	0	0	0	0	1	0	0
DPP10	0	0	0	1	0	0	0
DPP4	0	0	0	1	0	0	0
DPP4-DT	0	0	0	0	1	0	0
DPP6	0	0	0	0	1	0	0
DROSHA	0	0	0	0	1	0	0
DSC3	0	0	0	0	1	0	0
DSCAM	0	0	0	0	0	1	0
DSCAM-AS1	0	0	0	1	0	1	0
DSG2	0	0	0	1	0	0	0
DTD1	0	0	0	1	0	0	0
DTNA	0	0	0	1	0	0	0
DTX1	0	0	0	1	0	0	0
DUBR	0	0	0	1	0	0	0
DUSP14	0	0	0	1	1	0	0
DUSP26	0	0	0	0	1	0	0
DUXAP9	0	0	0	1	0	0	0
DYDC2	0	0	0	1	0	0	0
EBF2	0	0	0	1	0	0	0
EBLN2	0	0	0	1	0	0	0
ECT2	0	0	0	0	1	0	0
EDDM13	0	0	0	0	0	1	0
EDIL3	0	0	0	0	0	1	0
EDNRA	0	0	0	1	0	0	0
EDNRB-AS1	0	0	0	1	0	0	0
EFCAB5	0	0	0	1	0	0	0
EFEMP1	0	0	0	0	0	1	0
EFHD2	0	0	0	1	0	0	0
EFNA5	0	0	0	1	0	1	0
EFR3A	0	0	0	0	0	1	0
EFR3B	0	0	0	0	0	1	0
EGFR	0	0	0	1	0	0	0
EHD3	0	0	0	0	1	0	0
EHF	0	0	0	1	0	0	0
EIF2S3	0	0	0	1	0	0	0
EIF3IP1	0	0	0	1	0	1	0
ELK2AP	0	0	1	0	0	0	0
ELMO1	0	0	0	1	0	0	0
ELOVL2-AS1	0	0	0	1	0	0	0
EMC2	0	0	0	0	0	1	0
EML6	0	0	0	0	1	0	0
ENOX1-AS2	0	0	0	1	0	0	0
ENSA	0	0	0	1	0	0	0
ENTHD1	0	0	0	1	0	0	0
ENTREP1	0	0	0	0	1	0	0
EOMES	0	0	0	1	0	0	0
EPAS1	0	0	0	1	0	0	0
EPB41	0	0	0	1	0	0	0
EPB41L4A-AS1	0	0	0	0	0	1	0
EPC2	0	0	0	1	0	0	0
EPGN	0	0	0	0	1	0	0
EPHA3	0	0	0	1	1	1	0
EPHA4	0	0	0	1	1	1	0
EPHA5	0	0	0	0	1	0	0
EPHA6	0	0	0	0	1	0	0
EPHA7	0	0	0	1	0	0	0
EPHB1	0	0	0	1	0	0	0
EPS8	0	0	0	1	0	1	0
EPS8L1	0	0	1	0	0	0	0
EPYC	0	0	0	0	0	1	0
ERC2	0	0	0	1	0	0	0
ERCC6L2	0	0	0	0	0	1	0
ERG	0	0	0	1	0	0	0
ERICH6B	0	0	0	1	0	0	0
ERVFRD-1	0	0	0	1	0	0	0
ESR1	0	0	0	1	0	0	0
ESRRG	0	0	0	1	0	0	0
ETNPPL	0	0	0	1	0	0	0
ETS1	0	0	0	0	1	0	0
ETV1	0	0	0	1	0	0	0
ETV5	0	0	0	1	0	0	0
EXOC6B	0	0	0	1	0	0	0
EXOSC2	0	0	0	0	1	0	0
EYA1	0	0	0	1	0	0	0
FABP12	0	0	0	0	1	0	0
FABP7	0	0	0	0	0	1	0
FAF1	0	0	0	1	0	0	0
FAM133CP	0	0	0	1	0	0	0
FAM135B	0	0	0	0	1	0	0
FAM171A1	0	0	0	0	1	0	0
FAM242B	0	0	0	1	0	0	0
FAM27C	0	0	0	0	1	0	0
FAM27E5	0	0	0	1	0	0	0
FAM76B	0	0	0	0	1	0	0
FAM83B	0	0	0	1	0	0	0
FAM87A	0	0	0	0	1	0	0
FAM88E	0	0	0	1	0	0	0
FANCB	0	0	0	0	0	1	0
FAR2	0	0	0	0	1	0	0
FARS2-AS1	0	0	0	1	0	0	0
FASN	0	1	0	0	0	0	0
FAT1	0	0	0	1	0	0	0
FAT4	0	0	0	0	0	1	0
FBH1	0	0	1	0	0	0	0
FBLN5	0	0	0	1	0	0	0
FBN2	0	0	0	1	0	1	0
FBXO15	0	0	0	1	0	0	0
FBXO33	0	0	0	1	0	0	0
FBXO8	0	0	0	1	0	0	0
FBXW4	0	0	0	1	0	0	0
FBXW7	0	0	0	0	1	0	0
FEM1C	0	0	0	0	1	0	0
FER1L6	0	0	1	0	0	0	0
FER1L6-AS2	0	0	0	1	0	0	0
FERD3L	0	0	0	0	1	1	0
FEZF1	0	0	0	1	0	0	0
FGD3	0	0	0	0	0	1	0
FGD5-AS1	0	0	0	1	0	0	0
FGF10-AS1	0	0	0	0	1	1	0
FGF12-AS1	0	0	0	0	1	1	0
FGF14	0	0	0	0	0	1	0
FGF18	0	0	0	1	0	0	0
FGF20	0	0	0	0	0	1	0
FGF5	0	0	0	0	0	1	0
FGFBP1	0	0	0	1	0	0	0
FGFR2	0	0	0	1	0	1	0
FGL2	0	0	0	1	0	0	0
FHDC1	0	0	0	0	1	0	0
FHIP1A	0	0	0	1	0	1	0
FIGN	0	0	0	1	0	1	0
FKBP9	0	0	0	1	0	0	0
FLJ46284	0	0	0	0	1	0	0
FLRT3	0	0	0	1	0	0	0
FMNL2	0	0	0	0	0	1	0
FNIP2	0	0	0	1	0	1	0
FOXG1-AS1	0	0	0	0	1	0	0
FOXK1	0	0	0	1	0	0	0
FOXN2	0	0	0	1	0	0	0
FREM1	0	0	0	1	0	0	0
FREM2	0	0	0	1	0	0	0
FRG1FP	0	0	0	0	1	0	0
FRG2EP	0	0	0	0	0	1	0
FRMD3	0	0	0	1	0	0	0
FRMPD3	0	0	0	0	1	0	0
FRMPD4	0	0	0	0	1	0	0
FSCB	0	0	0	1	0	0	0
FSIP1	0	0	0	1	0	0	0
FSIP2-AS2	0	0	0	0	1	0	0
FTMT	0	0	0	1	0	0	0
FUNDC2P2	0	0	0	0	1	0	0
FUT8	0	0	0	1	0	0	0
FUT9	0	0	0	0	0	1	0
FYN	0	0	0	1	0	0	0
FZD1	0	0	0	1	0	0	0
FZD6	0	0	0	0	0	1	0
GABBR2	0	0	0	1	0	0	0
GABRA2	0	0	0	1	0	0	0
GABRG2	0	0	0	1	0	0	0
GALNT15	0	0	0	0	0	1	0
GALNT17	0	0	0	1	0	0	0
GALNTL6-AS1	0	0	0	0	0	1	0
GAP43	0	0	0	0	0	1	0
GAREM1	0	0	0	0	0	1	0
GARIN6	0	0	0	0	1	0	0
GASK1B-AS1	0	0	0	0	1	0	0
GBA3	0	0	0	1	0	0	0
GBE1	0	0	0	1	0	0	0
GCNT1	0	0	0	0	1	1	0
GDE1	0	0	0	0	1	0	0
GDPD5	0	0	1	0	0	0	0
GEMIN8P4	0	0	0	1	0	0	0
GFI1	0	0	0	1	0	0	0
GHITM	0	0	0	0	1	1	0
GIMD1	0	0	0	1	0	0	0
GJA1	0	0	0	1	1	0	0
GJA10	0	0	0	0	1	0	0
GJA5	0	0	0	0	1	0	0
GJE1	0	0	0	0	1	0	0
GK	0	0	0	1	0	0	0
GLCCI1	0	0	0	1	0	0	0
GLDC	0	0	0	0	1	0	0
GLI3	0	0	0	1	0	0	0
GLIS3-AS1	0	0	0	0	0	1	0
GLRA3	0	0	0	1	0	0	0
GLRB	0	0	0	1	0	0	0
GMDS	0	0	0	0	1	1	0
GNA14-AS1	0	0	0	0	1	0	0
GNAI1	0	0	0	1	0	0	0
GNG2	0	0	0	0	1	0	0
GNPDA2	0	0	0	0	1	0	0
GOLGA7B-DT	0	0	0	1	0	0	0
GOLGA8CP	0	0	0	1	0	0	0
GOLGA8EP	0	0	0	1	0	0	0
GPAT3	0	0	0	1	1	0	0
GPBP1	0	0	0	1	0	0	0
GPC4	0	0	0	1	0	0	0
GPC5	0	0	0	1	0	0	0
GPHN	0	0	0	1	0	0	0
GPM6A	0	0	0	1	0	0	0
GPR149	0	0	0	0	1	0	0
GPR176	0	0	0	1	0	0	0
GPR34	0	0	0	1	0	0	0
GPR37	0	0	0	1	0	0	0
GPR83	0	0	0	0	0	1	0
GPR88	0	0	0	1	0	0	0
GPRC5B	0	0	0	1	0	0	0
GPRIN3	0	0	0	0	1	0	0
GPX7	0	0	0	1	0	0	0
GRAMD2A	0	0	0	1	0	0	0
GRB14	0	0	0	1	0	0	0
GREB1L	0	0	0	0	1	0	0
GRHL3	0	0	0	0	1	0	0
GRIA1	0	0	0	1	0	0	0
GRID2	0	0	0	0	1	0	0
GRIK1	0	0	0	1	0	0	0
GRIK2	0	0	0	1	0	0	0
GRIP1	0	0	0	0	1	0	0
GRM1	0	0	0	1	0	0	0
GRM3	0	0	0	0	1	0	0
GRM5-AS1	0	0	0	1	0	0	0
GRM7-AS1	0	0	0	0	1	0	0
GRM7-AS3	0	0	0	0	1	0	0
GRPR	0	0	0	1	0	0	0
GRXCR1	0	0	0	0	1	0	0
GSK3B	0	0	0	1	0	0	0
GSR	0	0	0	0	1	0	0
GTF3A	0	0	0	1	0	0	0
GUSBP1	0	0	0	0	1	0	0
GUSBP19	0	0	0	0	1	1	0
GUSBP4	0	0	1	0	0	0	0
GZMA	0	0	0	0	1	0	0
GZMK	0	0	0	1	0	0	0
Gene_Name	0	0	0	0	0	0	1
H2AZ1-DT	0	0	0	1	0	0	0
H2BC12L	0	0	0	0	1	0	0
H3Y1	0	0	0	0	1	0	0
HACE1	0	0	0	1	0	0	0
HAS2	0	0	0	1	0	0	0
HBP1	0	0	0	1	0	0	0
HCG27	0	0	0	1	0	0	0
HDAC9	0	0	0	1	1	0	0
HECW2	0	0	0	1	0	0	0
HERC2P9	0	0	0	0	0	1	0
HEXB	0	0	0	1	0	0	0
HHLA2	0	0	0	0	1	0	0
HINT1	0	0	0	1	1	0	0
HIVEP3	0	0	0	1	1	0	0
HMBOX1	0	0	0	1	0	0	0
HNF1B	0	0	0	1	0	0	0
HNF4G	0	0	0	0	0	1	0
HOPX	0	0	0	0	1	0	0
HPGD	0	0	0	0	1	0	0
HS3ST1	0	0	0	1	0	0	0
HSF2	0	0	0	1	1	0	0
HSP90AB4P	0	0	0	1	0	0	0
HSPA4	0	0	0	1	0	0	0
HTR1A	0	0	0	1	1	0	0
HTR2A	0	0	0	0	1	0	0
HUWE1	0	0	0	1	0	0	0
HYDIN2	0	0	0	1	0	0	0
ICE1	0	0	0	1	1	0	0
IDO2	0	0	0	0	1	0	0
IFI27	0	0	0	1	0	0	0
IFIT2	0	0	0	0	1	0	0
IFNAR1	0	0	0	0	1	0	0
IFNGR1	0	0	0	1	0	0	0
IFRD1	0	0	0	1	0	0	0
IGFBP3	0	0	0	0	1	0	0
IGFBP7-AS1	0	0	0	0	1	0	0
IGFL4	0	0	0	0	0	1	0
IGSF11-AS1	0	0	0	1	0	0	0
IL16	0	0	0	1	0	0	0
IL1RAPL1	0	0	0	1	0	0	0
IL1RAPL2	0	0	0	1	0	1	0
INO80C	0	0	0	0	1	0	0
INPP4B	0	0	0	1	1	0	0
INSM1	0	0	0	1	0	1	0
INTU	0	0	0	1	1	0	0
IPMK	0	0	0	0	1	0	0
IPO8	0	0	0	0	1	1	0
IQCJ-SCHIP1-AS1	0	0	0	1	0	0	0
IQCK	0	0	0	1	0	0	0
IQCM	0	0	0	1	1	0	0
IQGAP2	0	0	0	1	0	1	0
IRF2BP2	0	0	0	1	0	0	0
IRX1	0	0	0	0	1	1	0
ISL1	0	0	0	0	1	0	0
ITGA1	0	0	0	1	0	0	0
ITGA6	0	0	0	1	0	0	0
ITGAV	0	0	0	0	1	0	0
ITGB8-AS1	0	0	0	0	1	0	0
ITK	0	0	0	1	0	0	0
JAKMIP2-AS1	0	0	0	1	0	0	0
JARID2	0	0	0	1	0	0	0
JAZF1-AS1	0	0	0	1	0	0	0
JCAD	0	0	0	1	0	0	0
JMJD1C	0	0	0	1	1	1	0
KANK1	0	0	0	1	0	0	0
KATNBL1P6	0	0	0	0	1	0	0
KATNIP	0	0	0	1	0	0	0
KAZN	0	0	0	0	0	1	0
